Word Range,Train Samples/Class,Test Samples/Class,Accuracy,Macro F1,ROC-AUC,Top 3 Predictive Features
0-300,1500,1000,0.7255,0.724,0.8033,"hapax_ratio avg_word_length, pronoun_ratio avg_word_length, entropy unique_words_ratio, entropy, entropy lexical_density"
0-300,500,1000,0.721,0.7191,0.7981,"entropy lexical_density, lexical_density avg_word_length, entropy, hapax_ratio avg_word_length, pronoun_ratio avg_word_length"
0-300,250,1000,0.7185,0.7161,0.7886,"entropy lexical_density, lexical_density avg_word_length, entropy, hapax_ratio avg_word_length, unique_words_ratio avg_word_length"
0-200,1000,1000,0.714,0.7118,0.7861,"hapax_ratio avg_word_length, entropy hapax_ratio, entropy punct_density, entropy unique_words_ratio, pronoun_ratio avg_word_length"
0-200,1500,1000,0.713,0.7112,0.7846,"entropy hapax_ratio, hapax_ratio avg_word_length, pronoun_ratio avg_word_length, entropy unique_words_ratio, perplexity"
0-200,500,1000,0.71,0.7075,0.7839,"hapax_ratio avg_word_length, entropy hapax_ratio, unique_words_ratio avg_word_length, entropy unique_words_ratio, entropy"
101-200,1500,1000,0.7085,0.7071,0.7898,"pronoun_ratio avg_word_length, hapax_ratio avg_word_length, entropy pronoun_ratio, entropy, entropy hapax_ratio"
0-200,250,1000,0.7065,0.705,0.7791,"hapax_ratio avg_word_length, entropy hapax_ratio, unique_words_ratio avg_word_length, perplexity, entropy unique_words_ratio"
0-500,250,1000,0.706,0.7049,0.7774,"entropy, pronoun_ratio avg_word_length, hapax_ratio avg_word_length, avg_word_length, punct_density avg_word_length"
0-500,1000,1000,0.706,0.7046,0.7849,"entropy, pronoun_ratio avg_word_length, hapax_ratio avg_word_length, entropy unique_words_ratio, avg_word_length"
0-500,500,1000,0.705,0.7039,0.7809,"hapax_ratio avg_word_length, entropy unique_words_ratio, entropy, pronoun_ratio avg_word_length, perplexity unique_words_ratio"
101-200,500,1000,0.705,0.7032,0.7869,"pronoun_ratio avg_word_length, hapax_ratio avg_word_length, entropy lexical_density, entropy hapax_ratio, entropy pronoun_ratio"
0-500,1500,1000,0.703,0.7015,0.7869,"pronoun_ratio avg_word_length, hapax_ratio avg_word_length, entropy unique_words_ratio, entropy, entropy pronoun_ratio"
101-200,250,1000,0.702,0.7012,0.7769,"pronoun_ratio avg_word_length, entropy punct_density, punct_density avg_word_length, entropy pronoun_ratio, hapax_ratio avg_word_length"
101-200,1000,1000,0.7025,0.7008,0.7875,"pronoun_ratio avg_word_length, entropy hapax_ratio, hapax_ratio avg_word_length, entropy pronoun_ratio, entropy"
