Features_Used,Test_Accuracy
sentence_length_deviation | dependency_tree_depth | lexical_density | stopword_gradient | subject_verb_distance | function_word_adjacency,0.7900618580765639
dependency_tree_depth | clause_density | verb_gap_deviation | stopword_gradient | function_word_adjacency,0.789595004668534
sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation,0.7893323996265172
burstiness | dependency_tree_depth | clause_density | lexical_density | stopword_gradient | function_word_adjacency,0.788953081232493
burstiness | sentence_length_deviation | dependency_tree_depth | lexical_density | stopword_gradient | subject_verb_distance | function_word_adjacency,0.7886321195144724
sentence_length_deviation | clause_density | verb_gap_deviation | lexical_density | stopword_gradient | subject_verb_distance | function_word_adjacency,0.7885445845004668
burstiness | sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation,0.7884278711484594
sentence_length_deviation | verb_gap_deviation | lexical_density | stopword_gradient | subject_verb_distance | function_word_adjacency,0.7883986928104575
sentence_length_deviation | clause_density | lexical_density | subject_verb_distance | function_word_adjacency,0.7881360877684407
burstiness | clause_density | verb_gap_deviation | stopword_gradient | subject_verb_distance | function_word_adjacency,0.7873482726423903
burstiness | sentence_length_deviation | clause_density | lexical_density | subject_verb_distance | function_word_adjacency,0.7855100373482726
burstiness | sentence_length_deviation | verb_gap_deviation | lexical_density | stopword_gradient | subject_verb_distance | function_word_adjacency,0.7855100373482726
burstiness | sentence_length_deviation | dependency_tree_depth | clause_density,0.7851015406162465
burstiness | sentence_length_deviation | clause_density | verb_gap_deviation | lexical_density | stopword_gradient | subject_verb_distance | function_word_adjacency,0.7850140056022409
dependency_tree_depth | clause_density | verb_gap_deviation | lexical_density | function_word_adjacency,0.7847222222222222
dependency_tree_depth | verb_gap_deviation | stopword_gradient | subject_verb_distance | function_word_adjacency,0.7837593370681606
burstiness | clause_density | verb_gap_deviation | lexical_density | subject_verb_distance | function_word_adjacency,0.7836426237161531
burstiness | verb_gap_deviation | lexical_density | stopword_gradient | subject_verb_distance | function_word_adjacency,0.7835550887021475
sentence_length_deviation | dependency_tree_depth | clause_density | lexical_density | stopword_gradient | subject_verb_distance | function_word_adjacency,0.7833216619981326
burstiness | dependency_tree_depth | clause_density | verb_gap_deviation | lexical_density | stopword_gradient | subject_verb_distance | function_word_adjacency,0.7832924836601307
sentence_length_deviation | lexical_density | subject_verb_distance | function_word_adjacency,0.7819502801120448
sentence_length_deviation | clause_density | lexical_density | stopword_gradient | subject_verb_distance | function_word_adjacency,0.7817460317460317
burstiness | sentence_length_deviation | dependency_tree_depth | clause_density | lexical_density | stopword_gradient | subject_verb_distance | function_word_adjacency,0.7813083566760037
burstiness | sentence_length_deviation | lexical_density | subject_verb_distance | function_word_adjacency,0.7809290382819795
clause_density | verb_gap_deviation | lexical_density | function_word_adjacency,0.7807539682539683
sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation | stopword_gradient,0.7790908029878618
burstiness | sentence_length_deviation | clause_density | lexical_density | stopword_gradient | subject_verb_distance | function_word_adjacency,0.7789449112978525
burstiness | sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation | stopword_gradient,0.7788865546218487
clause_density | verb_gap_deviation | stopword_gradient | function_word_adjacency,0.7782738095238095
burstiness | dependency_tree_depth | lexical_density | subject_verb_distance | function_word_adjacency,0.7776902427637722
burstiness | stopword_gradient | subject_verb_distance | function_word_adjacency,0.7775443510737629
sentence_length_deviation | lexical_density | stopword_gradient | subject_verb_distance | function_word_adjacency,0.7766981792717087
sentence_length_deviation | dependency_tree_depth | clause_density | stopword_gradient,0.7759978991596639
dependency_tree_depth | clause_density | verb_gap_deviation | lexical_density | stopword_gradient | function_word_adjacency,0.7756185807656396
burstiness | clause_density | verb_gap_deviation | lexical_density | stopword_gradient | subject_verb_distance | function_word_adjacency,0.7753851540616247
burstiness | sentence_length_deviation | lexical_density | stopword_gradient | subject_verb_distance | function_word_adjacency,0.7732843137254902
burstiness | sentence_length_deviation | dependency_tree_depth | clause_density | stopword_gradient,0.7731676003734828
clause_density | verb_gap_deviation | lexical_density | stopword_gradient | function_word_adjacency,0.7720296451914099
dependency_tree_depth | lexical_density | stopword_gradient | function_word_adjacency,0.7702789449112979
dependency_tree_depth | verb_gap_deviation | lexical_density | subject_verb_distance | function_word_adjacency,0.7677404295051354
burstiness | lexical_density | subject_verb_distance | function_word_adjacency,0.7671568627450981
verb_gap_deviation | stopword_gradient | subject_verb_distance | function_word_adjacency,0.766748366013072
burstiness | clause_density | subject_verb_distance | function_word_adjacency,0.7654645191409897
burstiness | dependency_tree_depth | clause_density | verb_gap_deviation,0.7649101307189542
burstiness | dependency_tree_depth | lexical_density | stopword_gradient | subject_verb_distance | function_word_adjacency,0.7647934173669467
burstiness | sentence_length_deviation | dependency_tree_depth | stopword_gradient,0.7639180672268907
sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation | subject_verb_distance,0.7632761437908496
burstiness | sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation | subject_verb_distance,0.762313258636788
sentence_length_deviation | dependency_tree_depth | clause_density | lexical_density,0.7620506535947712
burstiness | clause_density | stopword_gradient | subject_verb_distance | function_word_adjacency,0.761000233426704
verb_gap_deviation | lexical_density | subject_verb_distance | function_word_adjacency,0.760124883286648
burstiness | sentence_length_deviation | dependency_tree_depth | clause_density | lexical_density,0.7589869281045751
burstiness | hapax_legomena_ratio | clause_density | verb_gap_deviation | lexical_density | stopword_gradient | content_unique_ratio | function_word_adjacency,0.7586951447245565
burstiness | hapax_legomena_ratio | clause_density | verb_gap_deviation | stopword_gradient | content_unique_ratio | function_word_adjacency,0.7586076097105509
burstiness | clause_density | lexical_density | subject_verb_distance | function_word_adjacency,0.758345004668534
burstiness | lexical_density | stopword_gradient | subject_verb_distance | function_word_adjacency,0.7570903361344538
sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation | stopword_gradient | subject_verb_distance,0.7566818394024276
burstiness | hapax_legomena_ratio | clause_density | verb_gap_deviation | lexical_density | content_unique_ratio | function_word_adjacency,0.7564192343604108
sentence_length_deviation | hapax_legomena_ratio | clause_density | verb_gap_deviation | stopword_gradient | content_unique_ratio | function_word_adjacency,0.7554271708683473
sentence_length_deviation | hapax_legomena_ratio | verb_gap_deviation | stopword_gradient | content_unique_ratio | function_word_adjacency,0.755281279178338
burstiness | hapax_legomena_ratio | clause_density | verb_gap_deviation | content_unique_ratio | function_word_adjacency,0.7549894957983193
burstiness | sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation | stopword_gradient | subject_verb_distance,0.7549311391223156
burstiness | hapax_legomena_ratio | verb_gap_deviation | stopword_gradient | content_unique_ratio | function_word_adjacency,0.7539390756302521
burstiness | dependency_tree_depth | clause_density | verb_gap_deviation | stopword_gradient,0.7538515406162465
burstiness | hapax_legomena_ratio | verb_gap_deviation | lexical_density | stopword_gradient | content_unique_ratio | function_word_adjacency,0.7537056489262371
burstiness | hapax_legomena_ratio | clause_density | verb_gap_deviation | stopword_gradient | function_word_adjacency,0.7530637254901961
burstiness | hapax_legomena_ratio | clause_density | verb_gap_deviation | lexical_density | stopword_gradient | function_word_adjacency,0.7527135854341737
burstiness | dependency_tree_depth | clause_density | subject_verb_distance | function_word_adjacency,0.7526260504201681
burstiness | hapax_legomena_ratio | verb_gap_deviation | lexical_density | content_unique_ratio | function_word_adjacency,0.7516339869281046
burstiness | dependency_tree_depth | clause_density | stopword_gradient | subject_verb_distance | function_word_adjacency,0.7510504201680672
burstiness | hapax_legomena_ratio | clause_density | verb_gap_deviation | lexical_density | function_word_adjacency,0.7509628851540616
sentence_length_deviation | hapax_legomena_ratio | verb_gap_deviation | content_unique_ratio | function_word_adjacency,0.7507586367880486
sentence_length_deviation | hapax_legomena_ratio | verb_gap_deviation | stopword_gradient | function_word_adjacency,0.7507294584500467
burstiness | hapax_legomena_ratio | verb_gap_deviation | content_unique_ratio | function_word_adjacency,0.7507002801120448
dependency_tree_depth | clause_density | verb_gap_deviation | subject_verb_distance | function_word_adjacency,0.7506127450980392
burstiness | hapax_legomena_ratio | clause_density | verb_gap_deviation | function_word_adjacency,0.7505543884220355
sentence_length_deviation | hapax_legomena_ratio | clause_density | verb_gap_deviation | stopword_gradient | function_word_adjacency,0.7505252100840336
burstiness | hapax_legomena_ratio | lexical_density | stopword_gradient | content_unique_ratio | function_word_adjacency,0.7503209617180205
sentence_length_deviation | hapax_legomena_ratio | clause_density | verb_gap_deviation | content_unique_ratio | function_word_adjacency,0.7502917833800187
burstiness | sentence_length_deviation | dependency_tree_depth | verb_gap_deviation,0.7501458916900093
burstiness | hapax_legomena_ratio | clause_density | lexical_density | stopword_gradient | content_unique_ratio | function_word_adjacency,0.7497957516339869
burstiness | hapax_legomena_ratio | clause_density | lexical_density | content_unique_ratio | function_word_adjacency,0.7497373949579832
burstiness | hapax_legomena_ratio | lexical_density | content_unique_ratio | function_word_adjacency,0.7496790382819795
sentence_length_deviation | hapax_legomena_ratio | verb_gap_deviation | lexical_density | stopword_gradient | content_unique_ratio | function_word_adjacency,0.7496206816059757
sentence_length_deviation | hapax_legomena_ratio | clause_density | stopword_gradient | content_unique_ratio | function_word_adjacency,0.7493872549019608
sentence_length_deviation | hapax_legomena_ratio | clause_density | verb_gap_deviation | lexical_density | stopword_gradient | content_unique_ratio | function_word_adjacency,0.7492121848739496
